eps,homogeneity,completeness,v-measure,adjusted_rand_index,adjusted_mutual_info,silhouette
89.0,0.37036202869362556,0.9980876820994983,0.5377639025282744,0.030589858423253898,0.5105892530516623,0.1872239521050082
90.0,0.36359630852702307,0.9982464177774891,0.5305097333456904,0.02970955546101297,0.5035214109578273,0.18243110755325606
91.0,0.35509863142648096,0.9984428499098519,0.5207290241951275,0.02843746174985311,0.49364271246685704,0.17871103109546774
92.0,0.3485040401628586,0.9984787815266998,0.5134068284258961,0.027661379507206242,0.48650475106098595,0.18106819080960945
93.0,0.3429650693228392,0.9986448849888716,0.5071921178363784,0.02704253297312563,0.48050519575748524,0.17554254713008052
94.0,0.3358003024580556,0.9985818556738991,0.4988644842327588,0.026261619378612943,0.472391065695946,0.16851213890110145
95.0,0.33131222230915613,0.9986728476518724,0.4939689806985442,0.02571501884519499,0.46766639785355557,0.16905653655172428
96.0,0.3246539311155694,0.998741523433754,0.4863186552540397,0.024947470237056422,0.4601883488945576,0.16096914337991464
97.0,0.3177499306144786,0.9988516199635262,0.47861828704049114,0.02420315181384429,0.4527494971409971,0.1580103910304228
98.0,0.3113104477579741,0.9989208372046795,0.471057635219217,0.023396285283484263,0.44526024057262814,0.1521066328156819
99.0,0.3072018720888446,0.9989113635380288,0.4662575458202315,0.022989165822101802,0.44074200862035295,0.15277178875892491
